antecedents,consequents,support,confidence
['Abdominal pain'],['Headache'],0.013719928563924781,0.9355300859598853
['Abdominal pain'],['Inflammatory abnormality of the skin'],0.013404769408551318,0.9140401146131805
['Abdominal pain'],['Nausea'],0.014350246874671709,0.9785100286532951
['Abdominal pain'],['Pruritus'],0.012081100955982771,0.82378223495702
['Abdominal pain'],['Vertigo'],0.013110620863536086,0.8939828080229226
['Abdominal pain'],['Vomiting'],0.013867002836432399,0.9455587392550143
['Abnormality of the skin'],['Abnormality of the gastrointestinal tract'],0.010127114192667297,0.8909426987060998
['Abnormality of the gastrointestinal tract'],['Headache'],0.012018069124908078,0.9255663430420712
['Abnormality of the gastrointestinal tract'],['Inflammatory abnormality of the skin'],0.011807963021325769,0.9093851132686084
['Abnormality of the gastrointestinal tract'],['Nausea'],0.012690408656371468,0.9773462783171522
['Abnormality of the gastrointestinal tract'],['Pruritus'],0.010736421893055993,0.8268608414239482
['Abnormality of the gastrointestinal tract'],['Vertigo'],0.011597856917743461,0.8932038834951457
['Abnormality of the gastrointestinal tract'],['Vomiting'],0.011997058514549847,0.9239482200647249
['Abnormality of the skin'],['Headache'],0.010652379451623069,0.9371534195933455
['Abnormality of the skin'],['Inflammatory abnormality of the skin'],0.010652379451623069,0.9371534195933455
['Abnormality of the skin'],['Nausea'],0.010799453724130686,0.9500924214417745
['Abnormality of the skin'],['Vertigo'],0.010127114192667297,0.8909426987060998
['Abnormality of the skin'],['Vomiting'],0.010211156634100221,0.8983364140480592
['Anaphylactic shock'],['Headache'],0.010169135413383759,0.872072072072072
['Anaphylactic shock'],['Inflammatory abnormality of the skin'],0.010211156634100221,0.8756756756756757
['Anaphylactic shock'],['Nausea'],0.01088349616556361,0.9333333333333333
['Anaphylactic shock'],['Vomiting'],0.010232167244458452,0.8774774774774775
['Anxiety'],['Headache'],0.010085092971950834,0.975609756097561
['Anxiety'],['Nausea'],0.010127114192667297,0.9796747967479674
['Arthralgia'],['Nausea'],0.010106103582309066,0.9776422764227642
['Chest pain'],['Headache'],0.010064082361592605,0.9696356275303645
['Chest pain'],['Nausea'],0.010148124803025528,0.9777327935222672
['Confusion'],['Headache'],0.010148124803025528,0.9415204678362573
['Confusion'],['Nausea'],0.010400252127324299,0.9649122807017544
['Confusion'],['Vertigo'],0.010106103582309066,0.9376218323586744
['Confusion'],['Vomiting'],0.010106103582309066,0.9376218323586744
['Dyspnea'],['Headache'],0.012102111566341002,0.9290322580645162
['Dyspnea'],['Inflammatory abnormality of the skin'],0.011976047904191617,0.9193548387096775
['Dyspnea'],['Nausea'],0.012480302552789159,0.9580645161290323
['Dyspnea'],['Pruritus'],0.011030570438071227,0.8467741935483871
['Dyspnea'],['Respiratory distress'],0.013026578422103162,1.0
